GENE_SYMBOL,logFC,P.Value,FDR,-log10(FDR),significant
TWF1,-0.0286,0.84,0.9790855625976205,0.009179353405981396,False
LYZL6,0.0122,0.84,0.9790855625976205,0.009179353405981396,False
HMGB4,0.0152,0.84,0.9790855625976205,0.009179353405981396,False
CASP1,-0.0221,0.84,0.9790855625976205,0.009179353405981396,False
GALNTL2,-0.0841,0.84,0.9790855625976205,0.009179353405981396,False
GAFA2,0.192,0.84,0.9790855625976205,0.009179353405981396,False
CDH9,0.11,0.84,0.9790855625976205,0.009179353405981396,False
XLOC_001728,-0.0205,0.84,0.9790855625976205,0.009179353405981396,False
ZBTB7C,0.0353,0.84,0.9790855625976205,0.009179353405981396,False
SHISA8,0.0599,0.84,0.9790855625976205,0.009179353405981396,False
LRRC32,-0.0498,0.84,0.9790855625976205,0.009179353405981396,False
ABCA13,0.0118,0.84,0.9790855625976205,0.009179353405981396,False
PRKY,-0.0273,0.84,0.9790855625976205,0.009179353405981396,False
TM7SF4,0.125,0.84,0.9790855625976205,0.009179353405981396,False
MRPL45,-0.03,0.8400886962268187,0.9790855625976205,0.009179353405981396,False
CHD9,0.040400000000000005,0.8402480846787367,0.9790855625976205,0.009179353405981396,False
LRRFIP2,-0.020300000000000002,0.8403304728943926,0.9790855625976205,0.009179353405981396,False
CDCA7,0.12895,0.8404891076799788,0.9790855625976205,0.009179353405981396,False
AKR1D1,0.14275000000000002,0.8405637133718628,0.9790855625976205,0.009179353405981396,False
MED22,0.01785,0.8407369961573896,0.9790855625976205,0.009179353405981396,False
XLOC_005056,-0.10796499999999999,0.8408718456155625,0.9790855625976205,0.009179353405981396,False
BAGE,-0.06927000000000001,0.840985346127255,0.9790855625976205,0.009179353405981396,False
SUCLA2,-0.0355,0.841,0.9790855625976205,0.009179353405981396,False
BLID,0.0132,0.841,0.9790855625976205,0.009179353405981396,False
NDUFA2,-0.0263,0.841,0.9790855625976205,0.009179353405981396,False
SCAF8,0.0162,0.841,0.9790855625976205,0.009179353405981396,False
ANP32C,0.129,0.841,0.9790855625976205,0.009179353405981396,False
LOC100289094,0.0841,0.841,0.9790855625976205,0.009179353405981396,False
STAT6,0.0121,0.841,0.9790855625976205,0.009179353405981396,False
C7orf64,0.0477,0.841,0.9790855625976205,0.009179353405981396,False
LOC100128668,-0.0213,0.841,0.9790855625976205,0.009179353405981396,False
FARSA,0.0188,0.841,0.9790855625976205,0.009179353405981396,False
KIAA0485,0.0571,0.841,0.9790855625976205,0.009179353405981396,False
C19orf51,-0.0548,0.841,0.9790855625976205,0.009179353405981396,False
LOC100289090,-0.0697,0.841,0.9790855625976205,0.009179353405981396,False
JAM3,-0.145,0.841,0.9790855625976205,0.009179353405981396,False
TMEM81,0.0398,0.841,0.9790855625976205,0.009179353405981396,False
ZNF362,0.0378,0.841,0.9790855625976205,0.009179353405981396,False
DHX38,-0.0384,0.841,0.9790855625976205,0.009179353405981396,False
ZAR1L,-0.0762,0.841,0.9790855625976205,0.009179353405981396,False
LOC286002,0.0117,0.841,0.9790855625976205,0.009179353405981396,False
RFX6,0.0126,0.841,0.9790855625976205,0.009179353405981396,False
IDE,0.0165,0.841,0.9790855625976205,0.009179353405981396,False
SOX1,0.117,0.841,0.9790855625976205,0.009179353405981396,False
LOC100128338,0.123,0.841,0.9790855625976205,0.009179353405981396,False
BHLHA15,-0.0433,0.841,0.9790855625976205,0.009179353405981396,False
HCFC1,-0.0419,0.841,0.9790855625976205,0.009179353405981396,False
LOC440173,0.018925,0.8410349862393316,0.9790855625976205,0.009179353405981396,False
SMOC2,0.09820000000000001,0.8413524472274932,0.9792792327554408,0.009093455332931382,False
