GENE_SYMBOL,logFC,P.Value,FDR
SPINK13,-0.632,0.00730665,0.6202502775
CABYR,0.306,0.013259290295395399,0.7863881176730273
NAMPT,-0.06373333333333334,0.0789508450460726,1.0
VLDLR,0.5985,0.0013480119547361327,0.2754812208609369
SDS,-0.436,0.00740948,0.6230242009090909
UBAP1L,0.314,0.00742894,0.6230242009090909
CBLN3,-0.406,0.00743743,0.6230242009090909
SIN3A,0.329,0.00745224,0.6230242009090909
STEAP1,-0.21200000000000002,0.002422489536612956,0.38190547544703246
DDR1,0.424,0.036905871483237436,1.0
C1QL3,-0.337,0.00762242,0.63246027
ZNF233,0.4795,0.020707798825766267,0.8845043916838451
TRIM36,-0.4713333333333334,0.02883552622209029,0.9475029037244509
HGF,0.3185,0.014060319719412372,0.7961881221538463
PRSS23,-0.24,0.00768343,0.6336551158208955
SLC2A2,-0.255,0.00769424,0.6336551158208955
CCDC62,0.509,0.00775852,0.636573587063197
RAB27B,0.289,0.00784852,0.6371418954044117
SERPINB9,0.872,0.00785205,0.6371418954044117
XLOC_002142,-0.20094340000000002,0.16184188347961911,1.0
CASC1,0.28600000000000003,0.02225863937929855,0.8896371516674331
S100A14,-0.243,0.00798336,0.6414509868953069
CYP4X1,-0.963,0.00802346,0.6414509868953069
ANAPC1,0.19475999999999996,0.058671166170413874,1.0
C1orf116,-0.379,0.00805047,0.6414509868953069
KRT20,-0.893,0.00810558,0.6435189071223021
FAM161A,-0.275,0.008944216788971613,0.6664990382178219
XLOC_006252,-0.2235,0.005121372585757029,0.5596331500990099
CHIA,0.489,0.00822744,0.6488487757499999
COBLL1,-0.237,0.00823151,0.6488487757499999
NR1I3,-0.554,0.0009381022647735693,0.24358653042138173
GPSM1,0.04309999999999999,0.03317929063124286,0.9855990895318453
PCDH1,-0.2635,0.018818897776725494,0.8715837899999999
MYO1A,-0.387,0.00832214,0.6517276715957446
PLG,-0.488,0.00832709,0.6517276715957446
GPRC5C,-0.263,0.002588099424913168,0.3993272310416667
GALT,-0.15775,0.03172881011679257,0.978053866044314
ABCC2,0.46299999999999997,0.0019259964627330619,0.3400693434318513
STAP2,0.209,0.00846479,0.6579089006010952
PPM1B,0.1429,0.048872623910201696,1.0
UGT1A8,0.328,0.00852965,0.6579089006010952
FGF13,-0.274,0.00853165,0.6579089006010952
CCL15,0.328,0.0085369,0.6579089006010952
FAM48B2,0.859,0.00860795,0.6579089006010952
APLN,0.567,0.00863304,0.6579089006010952
CORO7,0.244,0.00869492,0.659469344742268
NKPD1,0.61,0.00879514,0.662728854778157
FGB,-0.345,0.00879795,0.662728854778157
KANK1,-0.16033333333333333,0.009902027240164864,0.6834087064792008
KAZALD1,-0.435,0.027173429714743,0.9376456002752294
ZNF300P1,0.7,0.0089998,0.6664990382178219
PAGE4,-0.426,0.00900882,0.6664990382178219
MGC14436,-0.289,0.00901283,0.6664990382178219
C19orf80,0.588,0.00904748,0.6664990382178219
TRERF1,0.281,0.02221070687142666,0.8896371516674331
TMEM105,-0.388,0.00910771,0.6664990382178219
CRYAB,-0.384,0.00912777,0.6664990382178219
DEPDC4,-0.392,0.00914056,0.6664990382178219
VIL1,0.507,0.00914497,0.6664990382178219
C19orf59,0.352,0.00914998,0.6664990382178219
DCX,-0.5315,0.0025571604809497676,0.3974583730636783
CDHR5,-0.29900000000000004,0.009939476905433531,0.6834087064792008
DOCK9,0.24844000000000005,0.017387993094147017,0.8569932825
TMEM119,0.499,0.00925336,0.6715879662295081
SSPO,-1.31,0.0092807,0.6715879662295081
ACCSL,1.18,0.00935663,0.6728981013461539
SOX6,-0.354,0.0094706,0.6728981013461539
PLSCR4,-0.269,0.00947062,0.6728981013461539
FLJ46906,-0.255,0.00949608,0.6728981013461539
